id,nome_completo,nome_urna,partido_atual,cargo_atual,uf_sede,promessas_campanha,redes_sociais,foto_url,data_atualizacao,id_externo_api,fonte_api,casa_legislativa,foto_status
05d52875-d5f6-4b14-a26e-4256c55c1172,Julio Arcoverde,Julio Arcoverde,PP,Deputado Federal,PI,,,https://www.camara.leg.br/internet/deputado/bandep/66385.jpg,2026-02-14 18:21:03.235+00,CAMARA-BR-66385,Sincronização Lote 2026,Câmara,ok
0648bae8-53c9-4c56-9326-35f569be6d49,José da Cruz Marinho,Zequinha Marinho,PODEMOS,Senador,PA,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3806.jpg,2026-02-14 18:21:28.985+00,SENADO-BR-3806,Sincronização Lote 2026,Senado,quebrado
0662ff97-121f-4686-8268-f208433e0e7c,Pastor Henrique Vieira,Pastor Henrique Vieira,PSOL,Deputado Federal,RJ,,,https://www.camara.leg.br/internet/deputado/bandep/220615.jpg,2026-02-14 18:21:09.752+00,CAMARA-BR-220615,Sincronização Lote 2026,Câmara,ok
06c2e265-07a2-45a3-b223-523020aa6e8a,Daniela do Waguinho,Daniela do Waguinho,UNIÃO,Deputado Federal,RJ,,,https://www.camara.leg.br/internet/deputado/bandep/204459.jpg,2026-02-14 18:20:54.01+00,CAMARA-BR-204459,Sincronização Lote 2026,Câmara,ok
0733356e-fc9d-4114-a20c-b50a6cef93fd,Vicentinho Júnior,Vicentinho Júnior,PP,Deputado Federal,TO,,,https://www.camara.leg.br/internet/deputado/bandep/137070.jpg,2026-02-14 18:21:16.266+00,CAMARA-BR-137070,Sincronização Lote 2026,Câmara,ok
07c79fd2-c50a-47e7-97d9-10f6b10866e3,Randolph Frederich Rodrigues Alves,Randolfe Rodrigues,PT,Senador,AP,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,2026-02-14 18:21:26.478+00,SENADO-BR-5012,Sincronização Lote 2026,Senado,quebrado
08e92297-e76a-40ed-a1fc-adce18e56946,Antonio Denarium,Antonio Denarium,PP,Governador,RR,,,https://www.rr.gov.br/denarium.jpg,2026-02-01 17:07:41.735+00,GOV-BR-RR,Sincronização Integridade 2026,,nao_verificado
09253627-b696-48ba-a672-129a7246d158,Clécio Luís,Clécio Luís,SOLIDARIEDADE,Governador,AP,,,https://www.portal.ap.gov.br/foto-governador.png,2026-02-01 17:07:40.101+00,GOV-BR-AP,Sincronização Integridade 2026,,nao_verificado
09b8fb32-0694-4f18-bef9-3a07b502c61d,Amaro Neto,Amaro Neto,REPUBLICANOS,Deputado Federal,ES,,,https://www.camara.leg.br/internet/deputado/bandep/204356.jpg,2026-02-14 18:20:50.359+00,CAMARA-BR-204356,Sincronização Lote 2026,Câmara,ok
09b99a6f-a464-4ddc-a09d-278eaf50a8cb,Alexandre Guimarães,Alexandre Guimarães,MDB,Deputado Federal,TO,,,https://www.camara.leg.br/internet/deputado/bandep/220542.jpg,2026-02-14 18:20:49.596+00,CAMARA-BR-220542,Sincronização Lote 2026,Câmara,ok
0ae11034-7c2b-435f-bd61-8f0be25ca2f5,Dagoberto Nogueira,Dagoberto Nogueira,PSDB,Deputado Federal,MS,,,https://www.camara.leg.br/internet/deputado/bandep/141411.jpg,2026-02-14 18:20:53.389+00,CAMARA-BR-141411,Sincronização Lote 2026,Câmara,ok
0b5086ba-7ce3-4220-9e73-066d3db781ac,Pedro Campos,Pedro Campos,PSB,Deputado Federal,PE,,,https://www.camara.leg.br/internet/deputado/bandep/220667.jpg,2026-02-14 18:21:10.331+00,CAMARA-BR-220667,Sincronização Lote 2026,Câmara,ok
0b5de839-03a5-4e0d-83f5-5178c8cee5f0,Orlando Silva,Orlando Silva,PCdoB,Deputado Federal,SP,,,https://www.camara.leg.br/internet/deputado/bandep/178987.jpg,2026-02-14 18:21:09.257+00,CAMARA-BR-178987,Sincronização Lote 2026,Câmara,ok
0c4a7360-8d45-45d3-bcb0-d1b16b5ad7f1,Luiz Nishimori,Luiz Nishimori,PSD,Deputado Federal,PR,,,https://www.camara.leg.br/internet/deputado/bandep/162332.jpg,2026-02-14 18:21:06.021+00,CAMARA-BR-162332,Sincronização Lote 2026,Câmara,ok
0c89abb3-c21e-45f4-be1d-4643c1a445bd,Bia Kicis,Bia Kicis,PL,Deputado Federal,DF,,,https://www.camara.leg.br/internet/deputado/bandep/204374.jpg,2026-02-14 18:20:51.643+00,CAMARA-BR-204374,Sincronização Lote 2026,Câmara,ok
0c9a4778-5403-4eee-9048-fc77cd8f0f3c,Marussa Boldrin,Marussa Boldrin,MDB,Deputado Federal,GO,,,https://www.camara.leg.br/internet/deputado/bandep/220572.jpg,2026-02-14 18:21:07.516+00,CAMARA-BR-220572,Sincronização Lote 2026,Câmara,ok
0ced5f88-246e-4e0c-a8a2-70665edf3914,Marcio Alvino,Marcio Alvino,PL,Deputado Federal,SP,,,https://www.camara.leg.br/internet/deputado/bandep/178983.jpg,2026-02-14 18:21:07.009+00,CAMARA-BR-178983,Sincronização Lote 2026,Câmara,ok
0d33ef19-f529-4124-af3d-c2a762ea4cd4,Odair Cunha,Odair Cunha,PT,Deputado Federal,MG,,,https://www.camara.leg.br/internet/deputado/bandep/74159.jpg,2026-02-14 18:21:09.31+00,CAMARA-BR-74159,Sincronização Lote 2026,Câmara,ok
0d4771f3-2bbc-497f-8a54-e2b81cf013df,Vicentinho,Vicentinho,PT,Deputado Federal,SP,,,https://www.camara.leg.br/internet/deputado/bandep/74283.jpg,2026-02-14 18:21:16.267+00,CAMARA-BR-74283,Sincronização Lote 2026,Câmara,ok
0d77c0f7-5908-48c0-b741-7392aae80e1c,Sérgio de Oliveira Cunha,Sérgio Petecão,PSD,Senador,AC,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,2026-02-14 18:21:28.981+00,SENADO-BR-4560,Sincronização Lote 2026,Senado,quebrado
0dd45098-d2d6-4792-b18e-b0f6456ce237,João Daniel,João Daniel,PT,Deputado Federal,SE,,,https://www.camara.leg.br/internet/deputado/bandep/178970.jpg,2026-02-14 18:21:02.229+00,CAMARA-BR-178970,Sincronização Lote 2026,Câmara,ok
0e8b6776-e623-41fd-bb12-e0ae17198ecf,Delegado Palumbo,Delegado Palumbo,MDB,Deputado Federal,SP,,,https://www.camara.leg.br/internet/deputado/bandep/220652.jpg,2026-02-14 18:20:54.975+00,CAMARA-BR-220652,Sincronização Lote 2026,Câmara,ok
0e8bf4c7-c235-4548-8f52-4d6b7ebda6f0,Esperidião Amin Helou Filho,Esperidião Amin,PP,Senador,SC,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,2026-02-14 18:21:21.442+00,SENADO-BR-22,Sincronização Lote 2026,Senado,quebrado
